"Step","fancy-sweep-5 - ENV_Test_accuracy","fancy-sweep-5 - ENV_Test_accuracy__MIN","fancy-sweep-5 - ENV_Test_accuracy__MAX","robust-sweep-6 - ENV_Test_accuracy","robust-sweep-6 - ENV_Test_accuracy__MIN","robust-sweep-6 - ENV_Test_accuracy__MAX","prime-sweep-4 - ENV_Test_accuracy","prime-sweep-4 - ENV_Test_accuracy__MIN","prime-sweep-4 - ENV_Test_accuracy__MAX","rose-sweep-1 - ENV_Test_accuracy","rose-sweep-1 - ENV_Test_accuracy__MIN","rose-sweep-1 - ENV_Test_accuracy__MAX","sleek-sweep-2 - ENV_Test_accuracy","sleek-sweep-2 - ENV_Test_accuracy__MIN","sleek-sweep-2 - ENV_Test_accuracy__MAX","breezy-sweep-3 - ENV_Test_accuracy","breezy-sweep-3 - ENV_Test_accuracy__MIN","breezy-sweep-3 - ENV_Test_accuracy__MAX"
"31","0.777408","0.777408","0.777408","0.780416","0.780416","0.780416","0.781504","0.781504","0.781504","0.780352","0.780352","0.780352","0.77856","0.77856","0.77856","0.771328","0.771328","0.771328"
"32","0.777792","0.777792","0.777792","0.781824","0.781824","0.781824","0.779776","0.779776","0.779776","0.779456","0.779456","0.779456","0.778624","0.778624","0.778624","0.771968","0.771968","0.771968"
"33","0.777792","0.777792","0.777792","0.781824","0.781824","0.781824","0.779776","0.779776","0.779776","0.779456","0.779456","0.779456","0.778624","0.778624","0.778624","0.771968","0.771968","0.771968"
"34","0.777792","0.777792","0.777792","0.781824","0.781824","0.781824","0.779776","0.779776","0.779776","0.779456","0.779456","0.779456","0.778624","0.778624","0.778624","0.771968","0.771968","0.771968"
"35","0.777344","0.777344","0.777344","0.78272","0.78272","0.78272","0.780672","0.780672","0.780672","0.778304","0.778304","0.778304","0.77856","0.77856","0.77856","0.771136","0.771136","0.771136"
"36","0.777344","0.777344","0.777344","0.78272","0.78272","0.78272","0.780672","0.780672","0.780672","0.778304","0.778304","0.778304","0.77856","0.77856","0.77856","0.771136","0.771136","0.771136"
"37","0.777344","0.777344","0.777344","0.78272","0.78272","0.78272","0.780672","0.780672","0.780672","0.778304","0.778304","0.778304","0.77856","0.77856","0.77856","0.771136","0.771136","0.771136"
"38","0.777216","0.777216","0.777216","0.78176","0.78176","0.78176","0.781824","0.781824","0.781824","0.778112","0.778112","0.778112","0.777024","0.777024","0.777024","0.77056","0.77056","0.77056"
"39","0.777216","0.777216","0.777216","0.78176","0.78176","0.78176","0.781824","0.781824","0.781824","0.778112","0.778112","0.778112","0.777024","0.777024","0.777024","0.77056","0.77056","0.77056"
"40","0.777216","0.777216","0.777216","0.78176","0.78176","0.78176","0.781824","0.781824","0.781824","0.778112","0.778112","0.778112","0.777024","0.777024","0.777024","0.77056","0.77056","0.77056"
"41","0.777152","0.777152","0.777152","0.781952","0.781952","0.781952","0.780672","0.780672","0.780672","0.778496","0.778496","0.778496","0.779072","0.779072","0.779072","0.773248","0.773248","0.773248"
"42","0.777152","0.777152","0.777152","0.781952","0.781952","0.781952","0.780672","0.780672","0.780672","0.778496","0.778496","0.778496","0.779072","0.779072","0.779072","0.773248","0.773248","0.773248"
"43","0.777152","0.777152","0.777152","0.781952","0.781952","0.781952","0.780672","0.780672","0.780672","0.778496","0.778496","0.778496","0.779072","0.779072","0.779072","0.773248","0.773248","0.773248"
"44","0.776064","0.776064","0.776064","0.78272","0.78272","0.78272","0.781888","0.781888","0.781888","0.774912","0.774912","0.774912","0.776704","0.776704","0.776704","0.772864","0.772864","0.772864"
"45","0.776064","0.776064","0.776064","0.78272","0.78272","0.78272","0.781888","0.781888","0.781888","0.774912","0.774912","0.774912","0.776704","0.776704","0.776704","0.772864","0.772864","0.772864"
"46","0.776064","0.776064","0.776064","0.78272","0.78272","0.78272","0.781888","0.781888","0.781888","0.774912","0.774912","0.774912","0.776704","0.776704","0.776704","0.772864","0.772864","0.772864"
"47","0.774976","0.774976","0.774976","0.782784","0.782784","0.782784","0.777472","0.777472","0.777472","0.77952","0.77952","0.77952","0.776448","0.776448","0.776448","0.773248","0.773248","0.773248"
"48","0.774976","0.774976","0.774976","0.782784","0.782784","0.782784","0.777472","0.777472","0.777472","0.77952","0.77952","0.77952","0.776448","0.776448","0.776448","0.773248","0.773248","0.773248"
"49","0.774976","0.774976","0.774976","0.782784","0.782784","0.782784","0.777472","0.777472","0.777472","0.77952","0.77952","0.77952","0.776448","0.776448","0.776448","0.773248","0.773248","0.773248"
"50","0.778112","0.778112","0.778112","0.78368","0.78368","0.78368","0.780352","0.780352","0.780352","0.77728","0.77728","0.77728","0.779904","0.779904","0.779904","0.773504","0.773504","0.773504"
"51","0.778112","0.778112","0.778112","0.78368","0.78368","0.78368","0.780352","0.780352","0.780352","0.77728","0.77728","0.77728","0.779904","0.779904","0.779904","0.773504","0.773504","0.773504"
"52","0.778112","0.778112","0.778112","0.78368","0.78368","0.78368","0.780352","0.780352","0.780352","0.77728","0.77728","0.77728","0.779904","0.779904","0.779904","0.773504","0.773504","0.773504"
"53","0.779008","0.779008","0.779008","0.779456","0.779456","0.779456","0.780032","0.780032","0.780032","0.777536","0.777536","0.777536","0.776192","0.776192","0.776192","0.774464","0.774464","0.774464"
"54","0.779008","0.779008","0.779008","0.779456","0.779456","0.779456","0.780032","0.780032","0.780032","0.777536","0.777536","0.777536","0.776192","0.776192","0.776192","0.774464","0.774464","0.774464"
"55","0.779008","0.779008","0.779008","0.779456","0.779456","0.779456","0.780032","0.780032","0.780032","0.777536","0.777536","0.777536","0.776192","0.776192","0.776192","0.774464","0.774464","0.774464"
"56","0.77728","0.77728","0.77728","0.783616","0.783616","0.783616","0.780288","0.780288","0.780288","0.77632","0.77632","0.77632","0.781056","0.781056","0.781056","0.769088","0.769088","0.769088"
"57","0.77728","0.77728","0.77728","0.783616","0.783616","0.783616","0.780288","0.780288","0.780288","0.77632","0.77632","0.77632","0.781056","0.781056","0.781056","0.769088","0.769088","0.769088"
"58","0.77728","0.77728","0.77728","0.783616","0.783616","0.783616","0.780288","0.780288","0.780288","0.77632","0.77632","0.77632","0.781056","0.781056","0.781056","0.769088","0.769088","0.769088"
"59","0.778304","0.778304","0.778304","0.784576","0.784576","0.784576","0.77824","0.77824","0.77824","0.776256","0.776256","0.776256","0.78176","0.78176","0.78176","0.770624","0.770624","0.770624"
"60","0.778304","0.778304","0.778304","0.784576","0.784576","0.784576","0.77824","0.77824","0.77824","0.776256","0.776256","0.776256","0.78176","0.78176","0.78176","0.770624","0.770624","0.770624"
"61","0.778304","0.778304","0.778304","0.784576","0.784576","0.784576","0.77824","0.77824","0.77824","0.776256","0.776256","0.776256","0.78176","0.78176","0.78176","0.770624","0.770624","0.770624"
"62","0.780032","0.780032","0.780032","0.782208","0.782208","0.782208","0.779328","0.779328","0.779328","0.774784","0.774784","0.774784","0.778048","0.778048","0.778048","0.771712","0.771712","0.771712"
